k,hits,precision,recall,fmeasure
1,1.0,1.0,0.010416666666666666,0.020618556701030924
2,1.0,0.5,0.010416666666666666,0.020408163265306124
3,1.0,0.3333333333333333,0.010416666666666666,0.0202020202020202
4,2.0,0.5,0.020833333333333332,0.039999999999999994
5,3.0,0.6,0.03125,0.0594059405940594
6,4.0,0.6666666666666666,0.041666666666666664,0.0784313725490196
7,5.0,0.7142857142857143,0.052083333333333336,0.0970873786407767
8,6.0,0.75,0.0625,0.11538461538461539
9,7.0,0.7777777777777778,0.07291666666666667,0.13333333333333333
10,8.0,0.8,0.08333333333333333,0.1509433962264151
11,9.0,0.8181818181818182,0.09375,0.16822429906542055
12,10.0,0.8333333333333334,0.10416666666666667,0.1851851851851852
13,11.0,0.8461538461538461,0.11458333333333333,0.20183486238532108
14,12.0,0.8571428571428571,0.125,0.21818181818181817
15,13.0,0.8666666666666667,0.13541666666666666,0.2342342342342342
16,14.0,0.875,0.14583333333333334,0.25000000000000006
17,14.0,0.8235294117647058,0.14583333333333334,0.24778761061946902
18,15.0,0.8333333333333334,0.15625,0.2631578947368421
19,16.0,0.8421052631578947,0.16666666666666666,0.2782608695652174
20,17.0,0.85,0.17708333333333334,0.29310344827586204
