k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02127659574468085,0.04166666666666667,1
2,2.0,1.0,0.0425531914893617,0.08163265306122448,1
3,3.0,1.0,0.06382978723404255,0.12,1
4,4.0,1.0,0.0851063829787234,0.1568627450980392,1
5,5.0,1.0,0.10638297872340426,0.1923076923076923,1
6,6.0,1.0,0.1276595744680851,0.22641509433962262,1
7,7.0,1.0,0.14893617021276595,0.25925925925925924,1
8,7.0,0.875,0.14893617021276595,0.25454545454545446,0
9,8.0,0.8888888888888888,0.1702127659574468,0.2857142857142857,1
10,9.0,0.9,0.19148936170212766,0.3157894736842105,1
11,10.0,0.9090909090909091,0.2127659574468085,0.3448275862068965,1
12,11.0,0.9166666666666666,0.23404255319148937,0.3728813559322034,1
13,11.0,0.8461538461538461,0.23404255319148937,0.36666666666666675,0
14,12.0,0.8571428571428571,0.2553191489361702,0.3934426229508196,1
15,13.0,0.8666666666666667,0.2765957446808511,0.4193548387096774,1
16,13.0,0.8125,0.2765957446808511,0.4126984126984127,0
17,14.0,0.8235294117647058,0.2978723404255319,0.4375,1
18,15.0,0.8333333333333334,0.3191489361702128,0.4615384615384616,1
19,16.0,0.8421052631578947,0.3404255319148936,0.48484848484848486,1
20,17.0,0.85,0.3617021276595745,0.5074626865671642,1
