k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,1.0,0.3333333333333333,0.02,0.03773584905660377,1
4,1.0,0.25,0.02,0.037037037037037035,0
5,2.0,0.4,0.04,0.07272727272727272,1
6,2.0,0.3333333333333333,0.04,0.07142857142857142,0
7,2.0,0.2857142857142857,0.04,0.07017543859649124,0
8,3.0,0.375,0.06,0.10344827586206896,1
9,4.0,0.4444444444444444,0.08,0.13559322033898308,1
10,4.0,0.4,0.08,0.13333333333333333,0
11,5.0,0.45454545454545453,0.1,0.16393442622950818,1
12,5.0,0.4166666666666667,0.1,0.16129032258064516,0
13,6.0,0.46153846153846156,0.12,0.19047619047619047,1
14,6.0,0.42857142857142855,0.12,0.1875,0
15,7.0,0.4666666666666667,0.14,0.2153846153846154,1
16,8.0,0.5,0.16,0.24242424242424243,1
17,9.0,0.5294117647058824,0.18,0.26865671641791045,1
18,10.0,0.5555555555555556,0.2,0.29411764705882354,1
19,11.0,0.5789473684210527,0.22,0.3188405797101449,1
20,11.0,0.55,0.22,0.3142857142857143,0
